"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","466","Sort products by name (Z to A)","","Sat Jan 04 01:04:56 GMT 2025","failed","Sat Jan 04 01:04:57 GMT 2025","","","",""
"","570","Add multiple items to cart","","Sat Jan 04 01:02:15 GMT 2025","passed","Sat Jan 04 01:02:16 GMT 2025","","","",""
"","5955","Login with performance glitch user","","Sat Jan 04 01:05:02 GMT 2025","passed","Sat Jan 04 01:05:08 GMT 2025","","","",""
"","1365","Close burger menu","","Sat Jan 04 01:05:12 GMT 2025","passed","Sat Jan 04 01:05:13 GMT 2025","","","",""
"","796","Load the homepage and check title","","Sat Jan 04 01:04:55 GMT 2025","passed","Sat Jan 04 01:04:56 GMT 2025","","","",""
"","5500","Add to cart from product details","","Sat Jan 04 01:05:34 GMT 2025","failed","Sat Jan 04 01:05:39 GMT 2025","","","",""
"","467","Sort products by price (low to high)","","Sat Jan 04 01:04:57 GMT 2025","failed","Sat Jan 04 01:04:57 GMT 2025","","","",""
"","93","Create a new book successfully with ID","","Sat Jan 04 01:01:18 GMT 2025","passed","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","86","Attempt to create book with invalid ID format","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","897","Login with invalid password","","Sat Jan 04 01:05:10 GMT 2025","passed","Sat Jan 04 01:05:11 GMT 2025","","","",""
"","2530","Proceed to checkout","","Sat Jan 04 01:03:06 GMT 2025","passed","Sat Jan 04 01:03:08 GMT 2025","","","",""
"","5500","Not working some add to cart button","","Sat Jan 04 01:05:28 GMT 2025","failed","Sat Jan 04 01:05:33 GMT 2025","","","",""
"","81","Attempt to update non-existent book","","Sat Jan 04 01:01:20 GMT 2025","passed","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","3076","Validate postal code format","","Sat Jan 04 01:04:43 GMT 2025","passed","Sat Jan 04 01:04:46 GMT 2025","","","",""
"","81","Retrieve a book by ID successfully","","Sat Jan 04 01:01:19 GMT 2025","broken","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","80","Attempt to update book without authentication","","Sat Jan 04 01:01:20 GMT 2025","passed","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","536","View empty cart","","Sat Jan 04 01:02:14 GMT 2025","passed","Sat Jan 04 01:02:15 GMT 2025","","","",""
"","83","Retrieve a book by ID successfully","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","89","Attempt to create a book with wrong key names","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","81","Attempt to update book with wrong key names","","Sat Jan 04 01:01:20 GMT 2025","passed","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","79","Attempt to retrieve a non-existent book","","Sat Jan 04 01:01:19 GMT 2025","broken","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","7586","Validate form retains valid data after error","","Sat Jan 04 01:04:46 GMT 2025","failed","Sat Jan 04 01:04:54 GMT 2025","","","",""
"","45570","Remove from cart in product details","","Sat Jan 04 01:05:39 GMT 2025","broken","Sat Jan 04 01:06:25 GMT 2025","","","",""
"","85","Attempt to create a book with invalid data types","","Sat Jan 04 01:01:18 GMT 2025","passed","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","138","Calling the base API without authorization should return 401","","Sat Jan 04 01:01:17 GMT 2025","passed","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","92","Retrieve all books successfully","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","5826","Validate checkout information fields","","Sat Jan 04 01:04:34 GMT 2025","failed","Sat Jan 04 01:04:40 GMT 2025","","","",""
"As a user
  I want to be able to checkout items
  So that I can complete my purchase","56825","Complete checkout","","Sat Jan 04 01:03:31 GMT 2025","failed","Sat Jan 04 01:04:28 GMT 2025","","","",""
"","6403","Navigate to About","","Sat Jan 04 01:05:14 GMT 2025","failed","Sat Jan 04 01:05:21 GMT 2025","","","",""
"","486","Sort products by name (A to Z)","","Sat Jan 04 01:04:56 GMT 2025","passed","Sat Jan 04 01:04:56 GMT 2025","","","",""
"","85","Update an existing book successfully with admin","","Sat Jan 04 01:01:20 GMT 2025","passed","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","915","Login with locked out user","","Sat Jan 04 01:05:00 GMT 2025","passed","Sat Jan 04 01:05:01 GMT 2025","","","",""
"As a user
  I want to be able to checkout items
  So that I can complete my purchase","13835","Navigate from checkout information to overview page","","Sat Jan 04 01:03:17 GMT 2025","failed","Sat Jan 04 01:03:31 GMT 2025","","","",""
"","1001","Login with problem user","","Sat Jan 04 01:05:01 GMT 2025","passed","Sat Jan 04 01:05:02 GMT 2025","","","",""
"","8","Attempt to delete a book without authentication","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","82","Attempt to update book with empty title field","","Sat Jan 04 01:01:20 GMT 2025","broken","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","427","Social media links should open in new tab","","Sat Jan 04 01:04:54 GMT 2025","passed","Sat Jan 04 01:04:55 GMT 2025","","","",""
"","4519","Reset App State","","Sat Jan 04 01:05:22 GMT 2025","passed","Sat Jan 04 01:05:27 GMT 2025","","","",""
"","47567","Remove item from cart","","Sat Jan 04 01:02:16 GMT 2025","broken","Sat Jan 04 01:03:03 GMT 2025","","","",""
"","85","Attempt to create a book with extra fields","","Sat Jan 04 01:01:19 GMT 2025","broken","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","82","Attempt to retrieve a non-existent book","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","88","Retrieve all books successfully","","Sat Jan 04 01:01:19 GMT 2025","passed","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","2484","Continue shopping","","Sat Jan 04 01:03:03 GMT 2025","passed","Sat Jan 04 01:03:06 GMT 2025","","","",""
